sheet,name,type,legal,year,amount_mio
PIT,Charitable donations,Tax reduction,Art. 145^33,2026,95.37
PIT,Investment allowance profits,Deduction of taxable income,Art. 68-77,2026,87.93
WT,Exemption from withholding tax on income from movable property on the first bracket of dividend,Reduced rate,"Art. 21, 1er, 14°",2026,83.44
EIWT,Sportsmen younger than 26 years old,EIWT measure,Art. 275^6,2024,78.86
EIWT,Sportsmen aged 26 years old or older,EIWT measure,Art. 275^6,2024,69.69
EIWT,Merchant shipping,EIWT measure,Art. 275^2,2024,67.01
CIT,Specific reduced CIT rates,Deduction of taxable income,,2023,66.43
CIT,Regional support measures,Exemption,Art. 193bis,2023,64.76
WT,Waiver of withholding tax on income from movable property in the framework of the pension savings scheme,Exemption,Art. 171,2026,63.62
EXC,Bringing individual reusable beverage containers into consumption - reduced packaging levy,Reduced rate,"Gewone wet van 16.07.1993 tot vervollediging van de federale staatsstructuur (BS 20.07.1993), Boek III, art. 371",2024,54.87
PIT,Regional housing bonus,Tax reduction,Art. 145^37 e.v.,2026,44.47
CIT,Tax shelter - extension to production of scenic works,Exemption,Art. 194ter,2023,41.82
VAT,Construction sector and related sector,Reduced rate,"Art. 37, § 1er",2023,39.89
VAT,Pro-deo laywers and bailiffs,Reduced rate,,2023,36.04
PIT,Exemption for additional payments for dismissals,Exemption,"Art. 38, §1, alinéa 1, 27°",2026,31.3
EXC,Kerosene used as heating fuel,Exemption,"Art. 419, d), iii) en art. 420, § 5",2024,29.19
PIT,Regional reduction for long-term savings,Tax reduction,Art. 145^39 e.v.,2026,28.96
PIT,Service vouchers,Tax reduction,Art. 145^21,2026,27.85
PIT,Construction saving - regional,Tax reduction,"Art. 526, § 2",2026,26.49
PIT,Construction saving - regional,Tax reduction,"Art. 526, § 2",2026,26.48
